id,assignmentId,startTime,endTime,boxer,punchType,hand,target,visibilityFlags,knockdown,punchQuality,cam,stance,landed,punchResult,defenseType,labeledBy,labeledByEmail,fightTitle,createdAt,updatedAt,videoTitle,assignmentStatus,assignmentLabelType,originalLabelerEmail
cmkgszgxt006vgy04r42uluqp,cmk5howey0001l404is4k7qvr,00:02.11,00:02.49,Boxer B,Jab,Left,Head,Full Body,FALSE,1,CAM 1,Orthodox,FALSE,Defended,Parry,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs0060gy0499tz1acy,cmk5howey0001l404is4k7qvr,00:09.40,00:09.76,Boxer A,Jab,Left,Body,Forward/Profile;Trajectory,FALSE,1,CAM 3,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006ugy04oeo6t9ca,cmk5howey0001l404is4k7qvr,00:10.98,00:11.32,Boxer B,Jab,Left,Body,Full Body;Forward/Profile;Origin,FALSE,1,CAM 1,Orthodox,TRUE,Landed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005zgy041ze27vhq,cmk5howey0001l404is4k7qvr,00:11.12,00:11.48,Boxer A,Hook,Left,Head,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 3,Orthodox,FALSE,Defended,Duck,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006tgy044f0xn8cq,cmk5howey0001l404is4k7qvr,00:15.40,00:15.62,Boxer B,Jab,Left,Head,Full Body;Forward/Profile;Trajectory;Origin,FALSE,1,CAM 3,Orthodox,FALSE,Defended,Guard,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005ygy04asw3ksic,cmk5howey0001l404is4k7qvr,00:21.22,00:21.60,Boxer A,Jab,Left,Body,Full Body;Origin;Forward/Profile;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006sgy04t9vr9fjw,cmk5howey0001l404is4k7qvr,00:22.82,00:23.18,Boxer B,Jab,Left,Head,Full Body;Forward/Profile;Trajectory;Origin,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005xgy04oz9r9qau,cmk5howey0001l404is4k7qvr,00:32.02,00:32.40,Boxer A,Jab,Left,Body,Full Body;Forward/Profile;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006rgy04hdxnv21c,cmk5howey0001l404is4k7qvr,00:40.86,00:41.08,Boxer B,Hook,Left,Head,Full Body;Trajectory;Impact,FALSE,1,CAM 1,Orthodox,FALSE,Defended,Guard,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006qgy043w74hxip,cmk5howey0001l404is4k7qvr,00:41.16,00:41.54,Boxer B,Cross,Right,Head,Trajectory;Origin;Impact,FALSE,1,CAM 3,Orthodox,FALSE,Defended,Guard,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
